0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:05:56 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:06:13 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:06:25 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:06:50 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:06:51 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:07:31 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:07:32 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:07:52 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:08:48 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:11 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:12 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:29 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:30 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:30 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:30 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:30 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:38 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:50 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:50 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:22:50 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:20 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:20 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:20 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:21 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:21 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:21 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:23 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:48 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:23:48 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:24:51 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:25:34 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:27:51 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:28:02 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:28:02 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:28:02 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:28:02 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:28:02 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:28:13 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:29:10 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:29:12 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:30:46 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:47:47 +0900] "GET /Web_Project/CSS/exam2/3-3-03.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:52:47 +0900] "GET /Web_Project/CSS/exam2/3-3-03.html HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:52:53 +0900] "GET /Web_Project/CSS/exam2/3-3-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:52:54 +0900] "GET /Web_Project/CSS/exam2/3-3-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:52:54 +0900] "GET /Web_Project/CSS/exam2/3-3-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:53:26 +0900] "GET /Web_Project/CSS/exam2/3-3-03.html HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:54:59 +0900] "GET /Web_Project/CSS/exam2/3-3-03.html HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:56:17 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:57:44 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:57:59 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:58:00 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:58:03 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:58:27 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:59:47 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 946
